ano,identificacao,tipo,autoria,casa,data_apresentacao,situacao,virou_norma,tema,ementa,codigo_materia,url
2017,MPV 767/2017,Medida Provisória,Presidência da República,CN,2017-01-06,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,True,Saúde,"Altera a Lei nº 8.213, de 24 de julho de 1991, que dispõe sobre os Planos de Benefícios da Previdência Social, e a Lei nº 11.907, de 2 de fevereiro de 2009, que dispõe sobre a reestruturação da composição remuneratória da Carreira de Perito Médico Previdenciário e da Carreira de Supervisor Médico-Pericial, e institui o Bônus Especial de Desempenho Institucional por Perícia Médica em Benefícios por Incapacidade.",127898,https://legis.senado.gov.br/sdleg-getter/documento?dm=2517551
2017,PDS 3/2017,Projeto de Decreto Legislativo,Câmara dos Deputados,SF,2017-01-10,TRANSFORMADA EM NORMA JURÍDICA,True,Relações Exteriores (tratados),"Aprova o texto do Acordo de Cooperação e Facilitação de Investimentos entre a República Federativa do Brasil e a República do Maláui, assinado em Brasília, em 25 de junho de 2015.",127902,https://legis.senado.gov.br/sdleg-getter/documento?dm=894920
2017,PDS 2/2017,Projeto de Decreto Legislativo,Câmara dos Deputados,SF,2017-01-10,TRANSFORMADA EM NORMA JURÍDICA,True,Relações Exteriores (tratados),"Aprova o Acordo de Cooperação e Facilitação de Investimentos entre o Governo da República Federativa do Brasil e o Governo da República de Moçambique, assinado em Maputo, em 30 de março de 2015.",127901,https://legis.senado.gov.br/sdleg-getter/documento?dm=894959
2017,PDS 1/2017,Projeto de Decreto Legislativo,Câmara dos Deputados,SF,2017-01-10,TRANSFORMADA EM NORMA JURÍDICA,True,Relações Exteriores (tratados),"Aprova o texto do Acordo de Cooperação e Facilitação de Investimentos entre o Governo da República Federativa do Brasil e o Governo da República de Angola, assinado em Luanda, em 1º de abril de 2015.",127900,https://legis.senado.gov.br/sdleg-getter/documento?dm=894998
2017,PLC 1/2017,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2017-01-11,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,Institui o Dia Nacional do Zootecnista.,127904,https://legis.senado.gov.br/sdleg-getter/documento?dm=500599
2017,PLC 9/2017,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2017-01-11,TRANSFORMADA EM NORMA JURÍDICA,True,Outros,"Altera a redação do art. 1.815 da Lei nº 10.406, de 10 de janeiro de 2002 - Código Civil, para promover ação visando à declaração de indignidade de herdeiro ou legatário.",127911,https://legis.senado.gov.br/sdleg-getter/documento?dm=500325
2017,PLC 8/2017,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2017-01-11,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,Institui o Dia Nacional do Exportador.,127910,https://legis.senado.gov.br/sdleg-getter/documento?dm=500364
2017,PLC 7/2017,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2017-01-11,TRANSFORMADA EM NORMA JURÍDICA,True,Outros,Institui a Política Nacional de Incentivo à Produção de Cacau de Qualidade.,127919,https://legis.senado.gov.br/sdleg-getter/documento?dm=500013
2017,PLC 4/2017,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2017-01-11,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,Institui a Semana Nacional da Agricultura Familiar.,127907,https://legis.senado.gov.br/sdleg-getter/documento?dm=500482
2017,PLC 2/2017,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2017-01-11,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,"Confere ao Município de Limeira, no Estado de São Paulo, o título de Capital Nacional da Joia Folheada.",127905,https://legis.senado.gov.br/sdleg-getter/documento?dm=500560
2017,PLC 15/2017,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2017-01-11,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,True,Tributário e Economia,Regulamenta o exercício da profissão de Técnico em Biblioteconomia.,127917,https://legis.senado.gov.br/sdleg-getter/documento?dm=500091
2017,PLC 14/2017,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2017-01-11,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,"Altera a Lei nº 10.457, de 14 de maio de 2002, substituindo a expressão “Dia do Bacharel em Turismo” por “Dia Nacional do Turismólogo e dos Profissionais do Turismo”.",127916,https://legis.senado.gov.br/sdleg-getter/documento?dm=500130
2017,PLC 13/2017,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2017-01-11,REMETIDA À CÂMARA DOS DEPUTADOS,False,Saúde,Obriga os estabelecimentos de saúde da rede pública e privada a notificar os casos de atendimentos que envolvam acidentes de crianças e adolescentes de zero a quatorze anos.,127915,https://legis.senado.gov.br/sdleg-getter/documento?dm=500169
2017,PLC 12/2017,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2017-01-11,TRANSFORMADA EM NORMA JURÍDICA,True,Outros,"Altera a redação da Lei nº 10.671, de 15 de maio de 2003, que dispõe sobre o Estatuto de Defesa do Torcedor, para ampliar o prazo de impedimento de que trata o art. 39-A, estender sua incidência a atos praticados em datas e locais distintos dos eventos esportivos e instituir novas hipóteses de responsabilidade civil objetiva de torcidas organizadas.",127914,https://legis.senado.gov.br/sdleg-getter/documento?dm=500208
2017,PLS 8/2017,Projeto de Lei Ordinária,Senador Humberto Costa (PT/PE),SF,2017-02-01,TRANSFORMADA EM NORMA JURÍDICA,True,Saúde,"Dispõe sobre a Política Nacional de Saúde Bucal no âmbito do Sistema Único de Saúde (SUS) e altera a Lei nº 8.080, de 19 de setembro de 1990, para incluir a saúde bucal no campo de atuação do SUS.",127956,https://legis.senado.gov.br/sdleg-getter/documento?dm=4893098
2017,PRS 1/2017,Projeto de Resolução,Senador Roberto Muniz (PP/BA),SF,2017-02-07,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,"Institui a Comenda do Mérito Futebolístico Associação Chapecoense de Futebol, a ser conferida pelo Senado Federal a pessoas jurídicas, atletas, dirigentes e demais profissionais que tenham se destacado em competições esportivas ou na promoção do futebol.",127957,https://legis.senado.gov.br/sdleg-getter/documento?dm=4958291
2017,PLS 14/2017,Projeto de Lei Ordinária,Senador Eduardo Amorim (PSDB/SE),SF,2017-02-08,REMETIDA À CÂMARA DOS DEPUTADOS,False,Saúde,"Acrescenta o art. 118-A à Lei nº 8.213, de 24 de julho de 1991, para conceder garantia de emprego ao segurado com câncer que perceber auxílio-doença, acidentário ou não.",127990,https://legis.senado.gov.br/sdleg-getter/documento?dm=4982453
2017,PLS 15/2017,Projeto de Lei Ordinária,Senador Lasier Martins (PSD/RS),SF,2017-02-08,REMETIDA À CÂMARA DOS DEPUTADOS,False,Segurança e Justiça,"Altera o art. 13 da Lei nº 5.070, de 7 de julho de 1966, que cria o Fundo de Fiscalização das Telecomunicações e dá outras providências, para isentar do pagamento das taxas do FISTEL os serviços públicos de emergência e de segurança pública.",128006,https://legis.senado.gov.br/sdleg-getter/documento?dm=4982622
